movieId	title	YTId	year	tag	avf1	avf2	avf3	avf4	avf5	avf6	avf7	avf8	avf9	avf10	avf11	avf12	avf13	avf14	avf15	avf16	avf17	avf18	avf19	avf20	avf21	avf22	avf23	avf24	avf25	avf26	avf27	avf28	avf29	avf30	avf31	avf32	avf33	avf34	avf35	avf36	avf37	avf38	avf39	avf40	avf41	avf42	avf43	avf44	avf45	avf46	avf47	avf48	avf49	avf50	avf51	avf52	avf53	avf54	avf55	avf56	avf57	avf58	avf59	avf60	avf61	avf62	avf63	avf64	avf65	avf66	avf67	avf68	avf69	avf70	avf71	avf72	avf73	avf74	avf75	avf76	avf77	avf78	avf79	avf80	avf81	avf82	avf83	avf84	avf85	avf86	avf87	avf88	avf89	avf90	avf91	avf92	avf93	avf94	avf95	avf96	avf97	avf98	avf99	avf100	avf101	avf102	avf103	avf104	avf105	avf106	avf107	ivec1	ivec2	ivec3	ivec4	ivec5	ivec6	ivec7	ivec8	ivec9	ivec10	ivec11	ivec12	ivec13	ivec14	ivec15	ivec16	ivec17	ivec18	ivec19	ivec20
89	Nick of Time	PaLHJCnAXi4	1995	"johnny_depp,suspense"	0.322418	0.55635	0.242215	0.495954	0.208952	0.558998	55.2631	0.166667	0.0111622	3	14	0.2	0.5	0.532218	15	2.11311	2.79619	7.26766	6.86524	7.06754	11.6354	5.69101	17.1547	29.1919	7	0.205911	0.0762631	70	181	0.649567	0	0	0.0303243	0.025454	0.00990744	6.02682	6.34046	5.74849	0.0445867	0.00151302	-0.00533368	-0.0255902	-0.00424811	-0.0142996	0.0154589	0.00797022	0.0120575	0.0424143	-0.0318292	0.0482727	0.295629	0.606565	0.251	0.300514	0.531601	0.211929	38	0.548416	0.262527	0.0672913	0.0160522	0.00801086	22	22	23	22	22	0.327107	0.309532	0.296025	0.31516	0.270106	0.52575	0.733716	0.690583	0.620675	0.554695	0.265325	0.235319	0.253169	0.21098	0.140998	0.660181	0.46385	0.46982	2.83238	2.83238	0.504979	0.486193	0.505771	0.49821	0.525097	0.577078	0.136238	0.0763182	0.0238232	-0.000691687	0	-2.66E-05	0.188828	0.28786	0.677229	1.07785	0	0.268916	0.235324	0.383391	-0.11096894	0.159689844	-0.317284226	0.051335771	-0.180754602	-0.042769965	0.096244738	0.132906005	-0.089298993	-0.034512062	0.356415123	-0.11083778	0.16603291	0.024819713	-0.002861711	-0.148170188	0.107386999	0.132344574	-0.201217651	-0.110444516
93	Vampire in Brooklyn	dNwt2Demll8	1995	"vampires,clv"	0.405104	0.326187	0.161139	0.220981	0.138873	0.751276	62.8028	0.5	0.0152003	3	15	0.1	0.5	0.538629	15	1.3924	1.55815	4.9358	6.15451	5.61971	9.68483	7.9667	10.5892	22.1687	7	0.135939	0.104417	39	103.5	0.69268	0	0	0.0189463	0.0214089	0.00903707	6.07304	5.92064	5.99905	0.140485	0.0039691	-0.000590564	0.00398737	0.00770869	0.0101735	0.00576995	-0.0116213	-0.00523823	0.137383	0.0259524	-0.00168261	0.372785	0.334524	0.206151	0.408658	0.212208	0.156122	40.5	0.601433	0.269485	0.0404053	0.0105438	0.00686646	22	22	22	22	22	0.405658	0.46735	0.448128	0.386508	0.418599	0.306334	0.337462	0.241543	0.248032	0.272624	0.172863	0.177951	0.189957	0.181799	0.167677	0.441936	0.429587	0.481709	2.75494	2.68149	0.495085	0.530484	0.473684	0.499551	0.499354	0.50467	0.131565	0.0852198	0.01432	0.000745073	-0.000137686	8.70E-06	0.263214	0.279015	0.265588	0.564488	0	0.254504	0.17457	0.27583	-0.116418794	0.146786287	-0.193238974	0.032719284	-0.068661578	0.007628689	-0.065740578	-0.200234458	0.017725701	0.112572603	0.027517702	-0.110933185	0.121582314	0.034794334	0.064048618	-0.052942965	0.049258631	0.226384625	-0.176054373	0.075328134
94	Beautiful Girls	yfQ5ONwWxI8	1996	"beautiful,natalie_portman,humorous,violence,atmospheric,clv"	0.17421	0.244351	0.224792	0.182745	0.182964	0.593009	54.2002	0.494048	0.0141235	3	14	0.15	0.5	0.542241	15	3.84726	1.81221	9.49787	10.0426	6.7398	16.7735	7.95254	9.79256	32.6032	8	0.18587	0.0778978	62.5	162.5	0.562408	0	0	0.0301107	0.022148	0.00875564	6.22139	6.15096	6.01219	0.0083087	-0.0153664	-0.00423189	-0.0222056	-0.011788	-0.0133045	0.0151759	0.00913815	0.0042781	-0.0210729	-0.0490954	0.0376649	0.256808	0.378914	0.345469	0.241748	0.284261	0.271791	34.5	0.7248	0.125153	0.125	0.00556183	0.00188446	22	21	23	23	22	0.20499	0.039087	0.0348842	0.282604	0.232749	0.288631	0.0748198	0.0414142	0.499073	0.50684	0.313412	0.00853964	0.00559585	0.0857438	0.0833898	0.759877	0.0205139	0.0149665	3.95768	3.75198	0.498842	0.501953	0.501953	0.502484	0.248961	0.932477	0.130303	0.0846329	0.0846329	0.000135462	-3.25E-05	0	0.959755	0.37845	0.583695	1.04847	0	0.299604	0.214558	0.231573	-0.093949623	0.197063059	-0.078508019	0.302324891	0.068290867	-0.006627307	0.093643799	-0.157754943	-0.087007083	0.31312412	0.074289195	-0.049883448	-0.043057948	-0.021249224	0.13076368	-0.003851633	0.108195871	0.165733486	0.00186575	0.14842841
95	Broken Arrow	De29KipeZQw	1996	"action,military,r,clv"	0.306253	0.404918	0.207036	0.295412	0.175561	0.663003	58.3163	0.0865385	0.0186293	2	16	0.05	0.5	0.631023	17	1.82293	1.21728	5.60581	6.1146	4.94264	10.5061	6.1757	7.96724	20.2879	8	0.172301	0.106188	52	139.5	0.699463	0	0	0.0260061	0.0238972	0.00981022	6.45748	6.10701	6.20333	0.0973057	-9.68E-05	0.00502156	-0.0160119	-0.000550013	0	0.0149142	0.00754606	0.00761315	0.106652	-0.0180606	0.0273961	0.34297	0.408719	0.304923	0.326684	0.285567	0.213443	37.5	0.571983	0.256073	0.0741043	0.022171	0.00926208	22	22	22	22	22	0.317787	0.310646	0.259554	0.266135	0.270108	0.36736	0.509511	0.501765	0.492706	0.454391	0.217904	0.208664	0.163833	0.142981	0.179527	0.49073	0.445435	0.362293	3.54428	3.47744	0.498936	0.499215	0.504644	0.50036	0.50148	0.548105	0.131976	0.0820538	0.0277132	0.000270966	-0.000155339	9.97E-05	0.32518	0.3608	0.385639	0.795184	0	0.207933	0.0915401	0.099791	0.141102806	-0.053910006	-0.021470428	0.092324384	-0.240586102	-0.226732373	0.053982474	-0.061843779	0.115425833	0.040998023	0.337192088	-0.265328765	-0.032533735	0.101190597	0.027917491	0.264389038	0.063412137	0.393824488	0.388000041	-0.135409355
97	"Hate Haine, La)"	cy5TaO6qTBU	1995	"black_and_white,disturbing,drugs,social_commentary,racism,r,criterion,bd-r,erlend's_dvds,tumey's_dvds"	0.276518	0.153422	0.178382	0.148427	0.173064	0.670609	62.7541	0.111111	0.00014646	2	18	0.05	0.5	0.85078	17	9.2229	3.75505	16.9864	16.7233	9.42856	33.7463	7.21008	13.3235	54.8177	7	0.173143	0.0898519	86	218	0.506195	0	0	0.0297852	0.0264023	0.011405	6.02503	5.98801	6.19042	0.061909	0.0496023	-0.0186816	0.182457	0.120458	0.21037	-0.0342909	-0.0259637	-0.0426282	0.0920385	0.493926	-0.105712	0.271733	0.0257635	0.372922	0.271026	0.0284693	0.366263	34	0.819229	0.129623	0.00744629	0.00469971	0.00167847	22	22	11	11	11	0.272912	0.322815	0.230587	0.251662	0.133519	0.104877	0.311618	0.0371504	0.0512172	0.0486103	0.116913	0.0811014	0.538639	0.514499	0.606373	0.339134	0.228541	1.14514	2.64847	2.64847	0.504183	0.517427	0.277357	0.502019	0.530987	0.204427	0.144316	0.0772006	0.0033076	0	-0.00349526	8.04E-07	0.895279	0.282621	0.796086	1.61966	0	0.0170719	0.00771946	0.187635	0.049439095	0.011978442	0.170666814	0.312225759	0.134893239	-0.095970772	0.142822891	-0.147048056	0.09724512	0.061891228	0.568659604	-0.176511839	0.180268764	-0.057015359	0.00650564	-0.094856799	0.192810014	0.107635193	-0.163593888	0.304204553
100	City Hall	Iow4oAxBU9s	1996	"corruption,al_pacino,politics,clv"	0.188164	0.15099	0.280987	0.0961223	0.252599	0.532707	57.0821	0.0833333	0.00570005	2	16	0.05	0.5	0.711258	17	1.64967	0.599129	3.96065	4.52963	3.08426	8.08382	5.29492	4.50266	17.4831	8	0.25452	0.21137	69	161	0.649918	0	0	0.0277252	0.0160082	0.00649845	6.4563	6.37046	6.38564	0.0590765	-0.000900096	0.00347556	-0.0284095	0.00285212	0.0224914	0.0193489	0.00457066	0.00568556	0.0579839	-0.00357043	0.0352749	0.164273	0.186313	0.29654	0.163574	0.125045	0.250877	33	0.617889	0.206055	0.036026	0.00822449	0.00602722	22	22	22	22	22	0.182988	0.159893	0.131167	0.140488	0.146362	0.132575	0.16397	0.194783	0.132033	0.131473	0.158097	0.484006	0.410875	0.427466	0.364199	0.43425	1.24095	1.10489	2.5893	2.5893	0.538507	0.423822	0.463648	0.501873	0.50578	0.50197	0.155443	0.0535232	0.0141352	-0.000436463	3.82E-06	5.75E-08	0.321762	0.261185	0.174493	1.08035	0	0.317572	0.258971	0.313145	-0.191264153	-0.001932756	0.108438864	0.189293951	0.085755982	-0.166850567	0.010727614	-0.154601097	0.033264581	0.348080456	0.079081044	0.047912307	-0.157385662	-0.164583907	-0.059063114	-0.131469801	-0.158072442	-0.004363983	0.173093379	0.019490428
101	Bottle Rocket	hspUSez-rYY	1996	"humorous,quirky,crime,friendship,heist,mental_illness,slow,seen_more_than_once,criterion,great_soundtrack,dvd-video"	0.309803	0.245827	0.53707	0.261761	0.462528	0.273728	46.5501	0.166667	0.0417774	4	12	0.2	0.5	0.432124	15	0.743647	2.13581	2.4118	3.36561	8.26072	5.91051	6.53609	11.666	16.0093	7	0.459725	0.39108	90	224	0.701965	0	0	0.0332489	0.0252172	0.0100703	7.50789	7.49808	7.40038	0.0887354	-9.48E-05	-0.00628733	-5.55E-05	-0.00161427	0.000645342	0.0135736	0.0113284	0.0174309	0.0857632	-0.000478828	0.048751	0.322076	0.240898	0.531992	0.321158	0.249127	0.444864	57	0.57666	0.243637	0.0563354	0.0193939	0.00924683	22	23	22	22	22	0.326113	0.343899	0.246108	0.218778	0.198559	0.208997	0.261629	0.239581	0.263942	0.275705	0.655193	0.429115	0.449935	0.456303	0.452037	1.67957	0.940404	1.0969	4.27421	4.21419	0.455332	0.576488	0.486634	0.501759	0.547742	0.453205	0.14665	0.0697046	0.0160783	0.00118641	-0.00034895	0	0.15062	0.42381	0.258987	1.36112	0	0.175353	0.154085	0.352911	0.193376794	0.171299815	-0.023413852	-0.071853459	-0.280003518	0.000989647	0.324447125	0.183985129	-0.112079933	-0.160968646	-0.213954791	0.009743812	0.049575806	0.369923681	0.084653027	0.061163347	0.198436409	0.017310504	-0.0202743	-0.352822155
102	Mr. Wrong	8tpGJ30uFcE	1996	stupid	0.490772	0.378077	0.185599	0.257234	0.162004	0.688984	59.9269	0.0320513	0.0143384	2	17	0.05	0.5	0.840836	17	0.0013568	1.40043	0.520891	2.05248	7.47974	1.59412	5.4589	8.72562	10.2044	8	0.158323	0.117907	50	125	0.600922	0	0	0.0227025	0.0309802	0.0126954	6.58841	6.37891	6.47596	0.17455	0.013427	-0.0189922	0.011518	-0.0101991	-0.0185234	0.0101461	-0.00431516	0.00540012	0.185585	-0.00573145	0.0239899	0.478696	0.294873	0.298243	0.497245	0.195939	0.239234	100	0.603661	0.243858	0.0502243	0.0212173	0.00878143	22	23	27	23	23	0.470696	0.634551	0.436212	0.363529	0.184301	0.244941	0.183097	0.302845	0.292003	0.307794	0.223381	0.224521	0.198334	0.191674	0.184807	0.600415	0.614189	0.506073	5.69308	4.92855	0.45397	0.555965	0.660236	0.426533	0.718215	0.369096	0.136398	0.0777056	0.0239699	0.00264667	-0.00255866	-3.00E-05	0.393311	0.47159	0.390201	0.599805	0	0.185923	0.20183	0.144788	-0.003650401	0.007504219	-0.193811134	0.259092391	-0.051363915	-0.036114596	-0.091850854	-0.171081319	-0.074844629	0.1101408	0.12170954	0.227808207	0.023481568	-0.338039219	0.082349695	-0.533413649	-0.003979126	-0.046020437	-0.147788465	0.413325578
104	Happy Gilmore	y1emDAYCfVQ	1996	"sports,comedy,hilarious,seen_more_than_once,clv"	0.357686	0.250359	0.517649	0.20218	0.445691	0.285354	45.2319	0.183983	0.0279829	4	12	0.2	0.5	0.445679	14	1.7111	1.18051	4.6653	5.70796	5.75372	10.7784	7.29978	9.17541	22.0155	8	0.439868	0.371609	89	212	0.688843	0	0	0.0372264	0.0293528	0.0114867	7.59216	7.49335	7.48349	0.0813374	0.00263717	-0.00809618	0.00372495	0.00118271	-0.00459166	0.00692514	0.00462568	-0.00527668	0.0906651	0.00442101	0.00107194	0.327071	0.267114	0.606739	0.336357	0.235029	0.470753	61	0.588455	0.220123	0.0678711	0.0256195	0.0128326	22	23	21	21	22	0.323252	0.398371	0.322185	0.250268	0.307164	0.223449	0.238779	0.292929	0.288825	0.248807	0.598864	0.34705	0.365074	0.36035	0.382137	1.57619	0.824742	0.902151	3.8461	3.84227	0.49256	0.562118	0.448767	0.503614	0.510358	0.500179	0.142118	0.0744992	0.0223446	-0.000745733	-3.71E-05	3.46E-08	0.0813293	0.381961	0.241098	1.27604	0	0.166784	0.37421	0.283889	0.047475439	0.427437663	-0.11632356	-0.069089063	0.032273617	-0.110334031	-0.003196718	0.09923014	0.122100212	0.067516327	0.234538913	-0.218198299	0.089520894	0.291433185	0.062348567	-0.000645745	-0.082881011	0.22970821	-0.087304108	-0.179943383
105	"Bridges of Madison County, The"	Up-oN4NtvbM	1995	"adapted_from:book,chick_flick,based_on_a_book,clint_eastwood,bittersweet,romance,bd-r"	0.176935	0.346628	0.251728	0.243286	0.213886	0.584078	53.7302	0.130952	0.00144163	2	16	0.05	0.5	0.586118	17	0.590905	1.00066	2.82436	3.48837	5.73478	3.87438	6.12213	8.75549	14.5465	8	0.211581	0.159345	63	141	0.704788	0	0	0.0221965	0.0178367	0.00769507	6.64762	6.59254	6.39685	0.040382	0.0161116	0.0145411	-0.0396462	-0.0192426	-0.0222051	0.0216893	0.0206944	0.0251646	0.0687708	-0.0766844	0.056027	0.1516	0.256852	0.349415	0.164596	0.196245	0.274493	42	0.684998	0.205994	0.0273438	0.00666809	0.00331116	22	22	21	21	21	0.148301	0.228112	0.199627	0.207724	0.183474	0.266689	0.386425	0.433313	0.297297	0.292751	0.291504	0.324859	0.254186	0.248919	0.264444	0.718058	0.828143	0.609263	2.3433	2.3433	0.517009	0.468808	0.474409	0.479842	0.603937	0.542809	0.155544	0.0616684	0.0153307	0.00178011	4.88E-06	0	0.329117	0.242371	0.325816	0.752966	0	0.130592	0.103256	0.303455	0.034230962	0.021618161	-0.002025708	0.509425581	0.306176335	-0.03172766	-0.408094525	0.046701252	0.296132177	-0.410039097	0.220123053	-0.136301234	0.068897605	0.213313028	-0.270383805	-0.165247306	0.30225879	0.204603896	0.423784882	0.300000578
